taxon,min_yr,max_yr,subfamily,tribe,genus,Amber Locale,Reference
Archimyrmex_piatnitzkyi,41.3,47.8,Myrmeciinae,,Archimyrmex,Argentine,"G. M. Dlussky and K. S. Perfilieva. 2003. Paleogene ants of the genus Archimyrmex Cockerell, 1923 (Hymenoptera, Formicidae, Myrmeciinae). Paleontological Journal 37:39-47"
Camponotus_ullrichi,5.333,7.246,Formicinae,Camponotini,Camponotus,Austria,"F. Bachmayer. 1960. Insektenreste aus den Congerienschichten (Pannon) von Brunn-Vösendorf (sül. von Wien) Niederösterreich. Sitzungsberichte der Österreichische Akademie der Wissenschaften, Mathematisch-Naturwissenschaftliche Klasse 169:11-16"
Baikuris_mandibularis,93.5,105.3,,,Baikuris,Baikua-Neru,G. M. Dlussky. 1987. New Formicoidea (Hymenoptera) of the Upper Cretaceous. Paleontological Journal 21(1):146-150
Baikuris_maximus,99.6,105.3,,,Baikuris,Baikua-Neru,G. M. Dlussky. 1987. New Formicoidea (Hymenoptera) of the Upper Cretaceous. Paleontological Journal 21(1):146-150
Baikuris_mirabilis,93.5,105.3,,,Baikuris,Baikua-Neru,G. M. Dlussky. 1987. New Formicoidea (Hymenoptera) of the Upper Cretaceous. Paleontological Journal 21(1):146-150
Formica_flori,33.9,38,Formicinae,Formicini,Formica,Baltic,"Baroni Urbani, C.; Graeser, S. 1987. REM-Analysen an einer pyritisierten Ameise aus Baltischem Bernstein. Stuttg. Beitr. Naturkd. Ser. B (Geol. Paläontol.) 133: 1-16"
Prionomyrmex_janzeni,33.9,38,Myrmeciinae,Prionomyrmecini,Prionomyrmex,Baltic,"C. Baroni Urbani. 2000. Rediscovery of the Baltic amber ant genus Prionomyrmex (Hymenoptera, Formicidae) and its taxonomic consequences. Eclogae Geologicae Helvetiae 93:471-480"
Pheidole_rasnitsyni,0,0.0117,Myrmicinae,Attini,Pheidole,Baltic,"D. A. Dubovikoff. 2011. The first record of the genus Pheidole Westwood, 1839 (Hymenoptera: Formicidae) from the Baltic amber. Russian Entomological Journal 20:255-257"
Formica_phaethusa,33.9,38,Formicinae,Formicini,Formica,Baltic,"Dlussky, G. M. 1967b. Ants of the genus Formica from the Baltic amber. Paleontol. Zh. 1967(2 2: 80-89 (page 80, see also)"
Yantaromyrmex_geinitzi,33.9,38,Dolichoderinae,,Yantaromyrmex,Baltic,"Dlussky, G.M. & Dubovikoff, D.A. 2013. Yantaromyrmex gen. n. – a new ant genus (Hymenoptera Formicidae) from Late Eocene ambers of Europe. Caucasian Entomological Bulletin 9, 305-314."
