#NEXUS
Begin data;
	DIMENSIONS NTAX=703  NCHAR=1;
  Format datatype=Continuous missing=? gap=-;
	MATRIX
Ectatomma_opaciventre	12.7195247390911
Gnamptogenys_striatula	1.64045112641283
Ectatomma_quadridens	0.00791775525837302
Typhlomyrmex_rogenhoferi	-4.82370482454163
Rhytidoponera_metallica	-4.07272687951489
Rhytidoponera_chalybaea	-7.62383812572377
Gnamptogenys_sp	-9.03113212476756
Hypoponera_sp_Mal1	-8.51879755408609
Leptogenys_diminuta	-6.43803431603113
Hypoponera_inexorata	-6.03632340856985
Ponera_pennsylvanica	-4.23539006150689
Platythyrea_lamellosa	-8.6754052878028
Neoponera_marginata	-10.2836120439805
Cryptopone_gilva	-11.2750002333511
Myopias_tenuis	-10.8896492366398
Streblognathus_peetersi	-14.858698957801
Leptogenys_falcigera	-11.2949834208003
Ophthalmopone_berthoudi	-13.0280826992877
Dinoponera_australis	-14.6469756471191
Paltothyreus_tarsatus	-15.4682497137806
Psalidomyrmex_procerus	-14.1607750192691
Pachycondyla_sp_Mal1	-13.1005864204327
Brachyponera_sennaarensis	-14.7920274351689
Platythyrea_strenua	-13.9690513411793
Emeryopone_buttelreepeni	-16.2160123683806
Hypoponera_sp_Mal2	-15.7775970285635
Neoponera_fauveli	-14.6539252142025
Leptogenys_occidentalis	-13.1679556707428
Neoponera_villosa	-10.5691701720944
Platythyrea_mocquerysi	-11.6563093409246
Thaumatomyrmex_sp_Bra1	-10.0806808076413
Brachyponera_atrata	-11.6140490635211
Pachycondyla_sp_Mal2	-12.8788038726383
Harpegnathos_saltator	-12.9171899742029
Brachyponera_chinensis	-15.78832710328
Plectroctena_minor	-11.574834307961
Mesoponera_ingesta	-14.5969903197119
Simopelta_sp_JTL001	-12.9655603118088
Platythyrea_quadridenta	-9.99650671167595
Leptogenys_crassicornis	-10.6299416919611
Buniapone_amblyops	-12.069370298294
Leptogenys_iridescens	-11.3281334701075
Simopelta_sp_Ecu1	-12.0117475501823
Pseudoponera_stigma	-14.0175046557073
Hagensia_havilandi	10.211125244786
Leptogenys_sp_Ecu1	10.633977352681
Neoponera_carinulata	12.4889822695346
Pachycondyla_crassinoda	13.8276577385844
Mayaponera_constricta	16.3968880581318
Austroponera_castanea	16.8489061193665
Centromyrmex_brachycola	12.690612665949
Odontomachus_simillimus	12.5612046317933
Euponera_sikorae	19.3981040875908
Platythyrea_punctata	18.2829935852234
Odontomachus_cephalotes	16.8112198175879
Centromyrmex_hamulatus	14.7302320565752
Leptogenys_sp	12.9821090714422
Cryptopone_sauteri	12.8753555113819
Megaponera_analis	14.1683100417813
Leptogenys_attenuata	13.3292479991188
Centromyrmex_feae	10.0977872142145
Simopelta_sp_Ecu2	0.736267135528141
Hypoponera_opacior	3.05813050010746
Myopias_lobosa	-0.468639125269888
Pseudoneoponera_rufipes	0.849700544347445
Anochetus_madagascarensis	18.2220477398855
Pachycondyla_sp_CAR1	6.1255837088021
Pachycondyla_sp_JTL011	7.99333498953449
Platythyrea_turneri	5.12595145498986
Diacamma_sp_Indo1	6.38199576969106
Odontomachus_coquereli	8.11995037198266
Anochetus_emarginatus	8.9706978318261
Diacamma_rugosum	8.27046056297216
Pachycondyla_sp_Mal3	7.79474819462405
Neoponera_aenescens	9.51457744934288
Pachycondyla_harpax	9.49211515560681
Thaumatomyrmex_atrox	11.1749471694332
Pachycondyla_impressa	7.58674292551014
Dinoponera_gigantea	11.6634139698148
Anochetus_mayri	10.7964960087723
Neoponera_unidentata	6.80294008338545
Harpegnathos_venator	6.39523496583403
Neoponera_apicalis	7.94229034658393
Hypoponera_sakalava	8.35816347300448
Phrynoponera_gabonensis	8.24979572290505
Mesoponera_rubra	2.47553108981617
Ponera_sp_Mal1	4.84151772101193
Plectroctena_ugandensis	3.1350479757642
Centromyrmex_sellaris	5.73958954931359
Diacamma_sp	4.72221431723852
Odontomachus_clarus	-0.0944867451704918
Myopias_sp_Mal1	6.42493068841238
Neoponera_commutata	7.73309989890537
Hypoponera_sp_Mal3	10.8519616610148
Odontoponera_transversa	13.2151289631727
Loboponera_politula	14.8457340614675
Simopelta_cf_pergandei	10.6322129741365
Kyromyrma_sp	5.84652395017949
Myanmyrma_gracilis	11.0907919302139
Myopopone_castanea	15.6536570788379
Prionopelta_sp2	-1.80025975118183
Stigmatomma_pallipes	-4.05906232920687
Mystrium_mysticum	0.704007335857019
Prionopelta_MAD01	-6.62178383116192
Onychomyrmex_hedleyi	-7.13579481664447
Adetomyrma_MAD02	-5.609905840204
Amblyopone_australis	-5.59652618812885
Xymmer_muticus	-4.39955111697896
Mystrium_rogeri	-9.02614961401184
Adetomyrma_sp2b	-10.97253797387
Apomyrma_stygia	-10.542560702139
Gerontoformica_spiralis	8.90885830236152
Haidomyrmodes_mammuthus	8.55582530140958
Sphecomyrma_freyi	7.00268879866931
Zigrasimecia_sp	13.7807555934885
Haidomyrmex_scimitarus	12.8979126112007
Gerontoformica_gracilis	14.9233663698148
Gerontoformica_magnus	12.3321294249442
Haidoterminus_cippus	6.28081422471453
Haidomyrmex_zigrasi	12.9154500910026
